from_region_id,to_region_id,flow_1990,flow_1995,flow_2000,flow_2005
6,6,57617,191071,84668,96102
6,1,103553,15550,35446,63080
6,3,912783,56817,1105368,1215929
6,4,8211,1336,15683,112823
6,10,106989,1083,68064,130359
6,8,60182,457,62788,158
6,2,17696,16407,21304,39145
6,9,10439,64871,91449,41758
6,7,37118,5149,30115,52303
6,5,189859,69180,210561,276908
1,6,229087,673261,484148,540887
1,1,8016143,5920174,3903229,3832478
1,3,914839,1546956,2017832,2107883
1,4,4664,8931,3174,4860
1,10,1105000,737083,485018,673004
1,8,14657,44223,11851,244
1,2,1929,4637,1920,3230
1,9,3018,15886,2769,916
1,7,38340,92605,111109,155988
1,5,5941,34512,12138,12316
3,6,196660,875968,76402,61217
3,1,542285,79119,123779,176905
3,3,3492218,2671359,2913273,2401476
3,4,25621,27474,15172,37517
3,10,399739,133589,119597,136131
3,8,45130,62814,14992,14
3,2,6226,16909,1942,5211
3,9,13365,90802,17874,6748
3,7,144876,123763,50673,127437
3,5,16944,118329,15112,16414
4,6,92918,410850,67032,21283
4,1,16064,7808,3982,1701
4,3,1415411,1176578,1058350,609230
4,4,2785433,2629531,2207525,1870501
4,10,179271,86947,53336,22341
4,8,89524,13952,51340,5428
4,2,5813,9202,8555,5625
4,9,715,2919,126,86
4,7,12176,25542,2621,1137
4,5,4890,12596,2130,733
10,6,159146,768199,148889,169274
10,1,369875,154675,142550,135106
10,3,625608,549592,515112,449623
10,4,6272,11025,33041,67967
10,10,1022058,584643,1089062,927243
10,8,235822,178811,35502,13532
10,2,2705,17775,434,386
10,9,13939,78848,5347,3137
10,7,26509,74711,25219,39692
10,5,2004,44175,5228,9437
8,6,416024,887463,1127535,1508008
8,1,32896,23648,47884,63471
8,3,254017,422475,883550,1390272
8,4,593,3499,3539,15999
8,10,374141,200065,2055794,4902081
8,8,5877911,1707731,1903789,1307907
8,2,22526,60319,35967,73599
8,9,94228,482266,327597,525881
8,7,53388,94580,219683,347420
8,5,1768,12849,4211,6734
2,6,804751,966843,1526195,1057904
2,1,21835,9939,26391,17092
2,3,213404,104658,551253,468762
2,4,78225,42302,64635,65366
2,10,9930,3668,4634,2581
2,8,11484,5552,32787,117
2,2,564165,490148,724145,781316
2,9,68885,57151,143491,145264
2,7,113500,75203,293721,278746
2,5,37751,41181,54265,35142
9,6,1078007,953797,996078,973060
9,1,27060,7415,24594,25580
9,3,462043,107849,549942,601265
9,4,1438,183,5799,8159
9,10,254820,37068,629282,869311
9,8,235360,34201,132847,59126
9,2,266857,277006,241401,380388
9,9,870249,1115045,1832683,1630997
9,7,213862,118522,247333,333608
9,5,10937,8515,5698,6080
7,6,29020,81612,49489,27137
7,1,37147,1370,6836,4747
7,3,108006,67421,201833,170370
7,4,202,347,1939,5181
7,10,16263,3315,14985,11316
7,8,3134,2704,936,5
7,2,4393,8388,3505,5659
7,9,28181,24480,18225,11883
7,7,92573,108208,161615,190706
7,5,3870,10442,3337,1785
5,6,3523588,3862187,4431475,3627847
5,1,24920,1937,22109,22652
5,3,439646,300437,1783348,1762587
5,4,1064,460,4734,10553
5,10,23470,4792,25739,38714
5,8,7408,5403,1536,365
5,2,119998,98950,68601,112180
5,9,3967,4589,1289,2545
5,7,17078,15438,25187,36031
5,5,674604,673443,854980,879198
